datetime,open,high,low,close,volume,candle_length,body_length,upper_wick,lower_wick,avg_candle_length_24h,std_candle_length_24h,return_1h,log_return_1h,sharpe_1w,sharpe_2w,volatility_24h,true_range,atr_24h,percent_range,momentum_1h,momentum_4h,momentum_24h,rsi_14,macd,macd_signal,macd_hist,zscore_24h,rolling_mean_24h,rolling_median_24h,rolling_max_24h,rolling_min_24h,breakout_up,breakout_down,y_return_1h,y_direction_1h,y_label_1h,y_vol_1h
2024-01-01 22:00:00,1.10427,1.10447,1.1042,1.10438,819.5,0.00026999999999999247,0.00010999999999983245,9.000000000014552e-05,7.00000000000145e-05,0.001316666666666642,0.0008370739236311063,0.0005798467030277976,0.0005796786568858212,0.08165468805892509,0.09066116411721305,0.000994713877254472,0.0007300000000001194,0.0013358333333333139,0.0002444810662996364,0.0005798467030277976,-0.0008323532072740392,-0.005296056779493186,35.399820260952254,-0.0010424839815164066,-0.0008170994090322762,-0.00022538457248413044,-1.268129022491157,1.1063,1.10646,1.11133,1.10339,0,0,-0.0006610043644397212,0,-1,0.0006612229241425441
2024-01-01 23:00:00,1.10446,1.10446,1.10356,1.10365,3104.46,0.0008999999999999009,0.0008099999999999774,0.0,8.999999999992347e-05,0.001298749999999978,0.0008413669648644445,-0.0006610043644397212,-0.0006612229241425441,0.058929531463014245,0.08539682866226893,0.0009905965951431462,0.0008999999999999009,0.0013179166666666502,0.0008154759208081374,-0.0006610043644397212,-0.0003804106623674919,-0.006311562494372702,31.724137892745674,-0.0010946635600479482,-0.0008726122392354107,-0.00022205132081253747,-1.8180246341420168,1.1060079166666668,1.106425,1.11133,1.10339,0,0,0.00014497349703246343,1,0,0.0001449629893905833
2024-01-02 00:00:00,1.10366,1.10383,1.10342,1.10381,0.0038443499999997006,0.00041000000000002146,0.00014999999999987246,2.0000000000131024e-05,0.00024000000000001798,0.0011587499999999769,0.0006754728617468605,0.00014497349703246343,0.0001449629893905833,0.05278018421022721,0.08532086594739088,0.00078089722013682,0.00041000000000002146,0.001177916666666649,0.00037144073708339433,0.00014497349703246343,-0.00025360251428785396,-0.003043768854206319,34.845734982953175,-0.001110306665050853,-0.0009201511243984992,-0.00019015554065235384,-1.5285449071450519,1.1058675,1.1062850000000002,1.11067,1.10339,0,0,-0.00029896449570121497,0,0,0.0002990091944951835
2024-01-02 01:00:00,1.1038,1.10432,1.10342,1.10348,0.0072185199999986,0.0008999999999999009,0.00031999999999987594,0.000520000000000076,5.999999999994898e-05,0.001152499999999973,0.0006772145636483054,-0.00029896449570121497,-0.0002990091944951835,0.04740696848914453,0.09152179653055477,0.0007791371763219886,0.0008999999999999009,0.0011716666666666449,0.0008156015514553058,-0.00029896449570121497,-0.00023556272310498727,-0.003503828926455621,35.85434168982496,-0.001136234377915768,-0.000963367775101953,-0.00017286660281381496,-1.5998851909946556,1.1057058333333334,1.1061100000000001,1.10842,1.10339,0,0,-0.0014590205531591627,0,-1,0.0014600859600729197
2024-01-02 02:00:00,1.10347,1.10359,1.10182,1.10187,0.009343279999999,0.0017700000000000493,0.0016000000000000458,0.00012000000000012001,4.999999999988347e-05,0.0011487499999999762,0.0006733647664495298,-0.0014590205531591627,-0.0014600859600729197,0.04857674783689401,0.08679937839861282,0.000811704231135675,0.0017700000000000493,0.001167916666666648,0.0016063600969261796,-0.0014590205531591627,-0.0022727684311559804,-0.004094360086768001,30.320460113023955,-0.0012720326215800437,-0.0010251007443975713,-0.0002469318771824724,-2.298741922831895,1.1055170833333332,1.1060400000000001,1.10842,1.10339,0,1,0.0008984725965859308,1,1,0.0008980692116846272
2024-01-02 06:00:00,1.10334,1.10351,1.10268,1.10286,0.0070618299999996,0.0008299999999998864,0.00048000000000003595,0.00017000000000000348,0.00017999999999984695,0.0011487499999999669,0.0006733647664495343,0.0008984725965859308,0.0008980692116846272,0.055002314593649945,0.08395539569544885,0.0008397629289238273,0.0016400000000000858,0.0012016666666666471,0.0007525887238633066,0.0008984725965859308,-0.0007158066415984266,-0.0032446111437479663,37.290836611786624,-0.0012849567997035294,-0.001077071955458763,-0.0002078848442447663,-1.5085364054281745,1.1053675,1.1056650000000001,1.10842,1.10182,0,0,-0.0012059554249860271,0,-1,0.001206683174377275
2024-01-02 07:00:00,1.10286,1.1038,1.10151,1.10153,0.0139995999999962,0.0022899999999999032,0.0013300000000000534,0.0009399999999999409,1.999999999990898e-05,0.0012120833333332988,0.0007068422071417903,-0.0012059554249860271,-0.001206683174377275,0.04292210829075939,0.08031281003614736,0.000865929629827309,0.0022899999999999032,0.001264999999999979,0.002078926583933169,-0.0012059554249860271,-0.002065572879390576,-0.00453662283674483,36.76355062728212,-0.0013865360640488156,-0.0011389647771767736,-0.000247571286872042,-1.9983122911307585,1.1051583333333332,1.10523,1.10842,1.10182,0,1,0.0012891160476793395,1,1,0.0012882858509904696
2024-01-02 08:00:00,1.10156,1.10387,1.10156,1.10295,0.0198716199999962,0.002309999999999812,0.0013900000000000023,0.0009199999999998099,0.0,0.0012845833333332928,0.0007270666446736937,0.0012891160476793395,0.0012882858509904696,0.06408690640340955,0.08349634898261489,0.0009141961931221413,0.0023400000000000087,0.0013387499999999812,0.00209438324493387,0.0012891160476793395,-0.00048029869141252846,-0.00278473459128592,36.009538910641126,-0.00133704362370346,-0.001178580546482111,-0.00015846307722134907,-1.118445442234269,1.10503,1.10503,1.10842,1.10151,0,0,-0.0013146561494176146,0,-1,0.0013155210679432936
2024-01-02 09:00:00,1.10296,1.10378,1.10107,1.1015,0.0157553499999967,0.00270999999999999,0.0014600000000000168,0.0008200000000000429,0.00042999999999993044,0.0013745833333332902,0.000764886915010052,-0.0013146561494176146,-0.0013155210679432936,0.06443377344229557,0.07865968414338663,0.0009444382156769741,0.00270999999999999,0.0014287499999999786,0.0024602814344076174,-0.0013146561494176146,-0.00033579278862294615,-0.004221774230000919,26.184926156442614,-0.001398700046524537,-0.0012226044464905962,-0.00017609560003394075,-1.6880151407364827,1.1048354166666667,1.1046399999999998,1.10842,1.10151,0,1,-0.0006808896958693245,0,-1,0.0006811216065346586
2024-01-02 10:00:00,1.10149,1.1017,1.0997,1.10075,0.0154526199999976,0.0020000000000000018,0.000740000000000185,0.00020999999999982144,0.0010499999999999954,0.001428749999999951,0.0007610594017837657,-0.0006808896958693245,-0.0006811216065346586,0.05130489030595575,0.07629508214728359,0.0009369552678545452,0.0020000000000000018,0.0014829166666666393,0.0018169429934135834,-0.0006808896958693245,-0.0019132074787371334,-0.005439251154259805,30.224215208687355,-0.0014908958188597499,-0.001276262720964427,-0.0002146330978953228,-1.827724601758422,1.1045845833333334,1.104235,1.10842,1.10107,0,1,-0.00464228934817168,0,-1,0.004653098238338169
2024-01-02 16:00:00,1.09436,1.09616,1.09408,1.09564,0.0150079799999962,0.002080000000000082,0.0012799999999999478,0.000520000000000076,0.000280000000000058,0.0014620833333332899,0.0007717060668565333,-0.00464228934817168,-0.004653098238338169,0.009663889845994488,0.059513487599169405,0.001277616694063821,0.006669999999999954,0.001707499999999973,0.0018984337921215744,-0.00464228934817168,-0.005347108113260557,-0.01082491445699374,20.03722082627064,-0.0019537740357165045,-0.0014117649839148426,-0.0005420090518016619,-3.1436722508363903,1.104085,1.1040800000000002,1.10842,1.0997,0,1,-0.0005476251323426329,0,0,0.0005477751337509468
2024-01-02 17:00:00,1.09565,1.09575,1.09459,1.09504,0.0126822299999961,0.0011600000000000499,0.0006099999999999994,9.999999999998899e-05,0.00045000000000006146,0.00147249999999996,0.0007655929784785398,-0.0005476251323426329,-0.0005477751337509468,0.005111722218004919,0.05568363402625538,0.001269247504013753,0.0011600000000000499,0.001717916666666643,0.0010593220338983506,-0.0005476251323426329,-0.0071716759599257385,-0.011598624412170855,20.852162666757366,-0.0023420259260094056,-0.0015978171723337554,-0.0007442087536756502,-2.712080929773117,1.1035495833333333,1.1039400000000001,1.10842,1.09408,0,0,-0.00033788720046756815,0,0,0.0003379442972095558
2024-01-02 18:00:00,1.09504,1.09558,1.09462,1.09467,0.009527149999998,0.0009600000000000719,0.00036999999999998145,0.0005399999999999849,5.0000000000105516e-05,0.0014766666666666262,0.0007623799501598847,-0.00033788720046756815,-0.0003379442972095558,-0.001918103963787952,0.05551481672820365,0.0012689779111049009,0.0009600000000000719,0.0017220833333333092,0.0008769766230919564,-0.00033788720046756815,-0.0062006354970494115,-0.011272185340739815,20.265151497241007,-0.0026490377953156674,-0.0018080612969301382,-0.0008409764983855293,-2.371356511341024,1.1030295833333332,1.103775,1.10806,1.09408,0,0,-1.8270346314519514e-05,0,0,1.8270513219329684e-05
2024-01-02 19:00:00,1.09466,1.09501,1.09429,1.09465,0.0072936399999987,0.0007200000000000539,1.0000000000065512e-05,0.0003500000000000725,0.00035999999999991594,0.001469583333333302,0.0007688301625460323,-1.8270346314519514e-05,-1.8270513219329684e-05,-0.001776076891265731,0.05428823053809225,0.001272090329193652,0.0007200000000000539,0.001714999999999985,0.0006577444845384863,-1.8270346314519514e-05,-0.00554167612991141,-0.010718384831587824,20.696324932963236,-0.002860981136848295,-0.0020186452649137696,-0.0008423358719345255,-2.0567665155232056,1.1025354166666668,1.103695,1.10806,1.09408,0,0,-0.0003106015621431313,0,0,0.00031064980879891724
