datetime,y_true,p_logistic,p_xgb,p_lgb,ret_fwd
2023-01-02 00:00:00,0,0.480311703272904,0.46144435,0.4366210834837869,-0.0005885650224214389
2023-01-02 01:00:00,0,0.49487196777531844,0.49877247,0.509637335556224,-0.0006823896725465239
2023-01-02 02:00:00,0,0.5008047895828983,0.51120514,0.5063655688222505,-4.677093467020388e-05
2023-01-02 03:00:00,1,0.5135858265137785,0.52861196,0.4834130579821327,0.0008793346991085027
2023-01-02 04:00:00,0,0.4962902149309884,0.45505285,0.48146318448235564,-0.0005140523211799586
2023-01-02 05:00:00,0,0.4953203034803811,0.49977112,0.40461199281356475,-0.000411453365501524
2023-01-02 06:00:00,0,0.4932118407785258,0.45878226,0.4558933721595097,-0.0010103466985985632
2023-01-02 07:00:00,1,0.49621117666494463,0.49995363,0.4083835514655454,3.745809375765852e-05
2023-01-02 08:00:00,0,0.5249785316362897,0.40112555,0.19825880330437232,-3.745669070143176e-05
2023-01-02 09:00:00,1,0.5500813868020257,0.53709704,0.28265246275366707,0.00044013260165187695
2023-01-02 10:00:00,1,0.5156907915248975,0.4567282,0.4744178728410785,8.424363258541234e-05
2023-01-02 11:00:00,0,0.509371536719449,0.5221402,0.5253117229735709,-0.00018719230265251685
2023-01-02 12:00:00,0,0.5112650055736837,0.51372623,0.4939196728074403,-0.0003557319653255675
2023-01-02 13:00:00,0,0.5196364300649747,0.57916087,0.5550278861136487,-0.0005806113275395042
2023-01-02 14:00:00,0,0.5237890922730211,0.6441624,0.5494345999017893,-0.0011431569873128211
2023-01-02 15:00:00,0,0.53024746636745,0.6261231,0.5453184427498315,-0.0005159474671669884
2023-01-02 16:00:00,1,0.5261257178758809,0.5398271,0.524502125886255,0.0005068281008024922
2023-01-02 17:00:00,0,0.510066620812797,0.59009784,0.5411435434549325,-0.0007504760832652835
2023-01-02 18:00:00,1,0.5279218212264483,0.7337469,0.6677669671759022,0.0003942958533218466
2023-01-02 19:00:00,1,0.5068034657502377,0.6561566,0.4646441256767182,0.0006475164459793792
2023-01-02 20:00:00,1,0.5055657510816223,0.54223335,0.4883658450897088,0.0001500515802306257
2023-01-02 21:00:00,0,0.49914791271908643,0.52900714,0.47819167075088065,-0.00011252180109888599
2023-01-02 22:00:00,1,0.4953066781174895,0.5988051,0.6520217964236458,0.0012285012285011554
2023-01-02 23:00:00,0,0.4606731969432998,0.50299895,0.4029829844281733,-0.0005713482882967469
2023-01-03 00:00:00,0,0.4978605462149709,0.56538093,0.5330859955324558,-0.0010027740290897702
2023-01-03 01:00:00,1,0.500339413902784,0.50303155,0.5372287523640487,0.001557267090068093
2023-01-03 02:00:00,0,0.4844375736810456,0.5241441,0.5286336534390327,-0.0008523552166951331
2023-01-03 04:00:00,0,0.5133589081707967,0.58010274,0.5116489546188981,-0.001415554222288784
